FO Firm Name,Website,Country,City,Founded Year,Type,Contact Name,Contact Title,Contact LinkedIn,Contact Email,Investment Focus,Check Size Min,Check Size Max,Recent Deal 1,Recent Deal 2,Recent Deal 3,Co-Investors,LP Relations,LinkedIn Activity,Recent News,News Date,News Source,Verified Date,Verified Method,Source URL,Notes,AUM Range
C&A,https://www.cofraholding.com/en/about/,Switzerland,Zug,2001,Family holding company,,,,,"Retail, real estate, private equity, asset management",,,,,,,,,,,,2026-03-18,Web search / official website,https://www.cofraholding.com/en/about/,COFRA Holding is the Brenninkmeijer family control center behind C&A.,
Würth Group,https://www.wuerth.com/en/,Germany,Künzelsau,1945,Family-owned industrial distribution group,,,,,"Assembly and fastening materials, tools, chemicals, PPE",,,,,,,,,,,,2026-03-18,Web search / official website,https://www.wuerth-fs.com/en/financialservices/company/wuerthgruppe/wuerthgruppe.php,World market leader in assembly and fastening materials.,
Schaeffler Group,https://www.schaeffler.com/en/,Germany,Herzogenaurach,1946,Family-owned motion technology group,,,,,"Mobility, drives, chassis, industrial solutions",,,,,,,,,,,,2026-03-18,Web search / official website,https://www.schaeffler.com/en/group/history/,One of the world’s largest family-owned companies.,
Bosch,https://www.bosch.com/,Germany,Gerlingen,1886,Private technology group,,,,,"Mobility, industrial technology, consumer goods, energy and building technology",,,,,,,,,,,,2026-03-18,Web search / official website,https://www.bosch.com/company,Majority held by Robert Bosch Stiftung.,
Freudenberg Group,https://www.freudenberg.com/en/,Germany,Weinheim,1849,Family-owned technology group,,,,,"Seals, vibration control, technical textiles, filtration, cleaning, specialty chemicals, medical tech",,,,,,,,,,,,2026-03-18,Web search / official website,https://www.freudenberg.com/en/company/about-us,Global family business.,
Oetker Group,https://oetker-group.com/,Germany,Bielefeld,1891,Family-owned holding company,,,,,"Food, beverages, logistics, hotels and other interests",,,,,,,,,,,,2026-03-18,Web search / official website,https://oetker-group.com/,Dr. August Oetker KG is the holding company.,
Reimann Family Office,https://www.reimann-investors.com/en/family-office,Germany,Grünwald,2006,Family office / corporate group,,,,,Capital market investments and direct startup investments,,,,,,,,,,,,2026-03-18,Web search / official website,https://www.reimann-investors.com/en/imprint,Reimann Investors is based in Grünwald and Munich.,
Merck Family Office,https://www.emdgroup.com/en/company/management/em-kg.html,Germany,Darmstadt,1668,Family holding / family office,,,,,Entrepreneurial control of Merck family assets,,,,,,,,,,,,2026-03-18,Web search / official website,https://www.emdgroup.com/en/company/management/em-kg.html,E. Merck KG represents the Merck family ownership structure.,
Wacker Family Office,https://reports.wacker.com/2022/annual-report/for-our-shareholders/wacker-stock/shareholder-structure.html,Germany,Munich,1914,Family holding,,,,,Chemical and industrial ownership interests,,,,,,,,,,,,2026-03-18,Web search / official website,https://reports.wacker.com/2022/annual-report/for-our-shareholders/wacker-stock/shareholder-structure.html,Largest shareholder is Dr. Alexander Wacker Familiengesellschaft mbH.,
Voith Family,https://voith.com/corp-en/about-us/company.html,Germany,Heidenheim an der Brenz,1867,100% family-owned technology company,,,,,"Energy, paper, raw materials, transport & automotive",,,,,,,,,,,,2026-03-18,Web search / official website,https://voith.com/corp-en/about-us/company.html,Voith GmbH & Co. KGaA is 100% family-owned.,
Diehl Family,https://new.diehl.com/,Germany,Nürnberg,1902,Independent family business / technology group,,,,,"Defense, controls, metal, aviation, metering",,,,,,,,,,,,2026-03-18,Web search / official website,https://www.diehl.com/group/en/company/about-us/,Diehl has been an independent family business since 1902.,
Knauf Family,https://knauf.com/en/,Germany,Iphofen,1932,Family-owned building materials group,,,,,"Construction materials, insulation, ceilings, plastics",,,,,,,,,,,,2026-03-18,Web search / official website,https://knauf.com/en/who-we-are/history,Founded by the Knauf brothers.,
Bauer Family,https://bauer-company.com/family-office/,,,,Family office / property investment,,,,,Property sector investments,,,,,,,,,,,,2026-03-18,Web search / official website,https://bauer-company.com/family-office/,Public site describes a family office focused on property investments.,
Stihl Family,https://www.stihl.com/about-stihl.aspx,Germany,Waiblingen,1926,Family-owned mechatronics / manufacturing company,,,,,"Forestry, construction and gardening tools",,,,,,,,,,,,2026-03-18,Web search / official website,https://corporate.stihl.com/en/about-stihl/history,Family-owned since its founding.,
Lidl & Schwarz,https://gruppe.schwarz/en/,Germany,Neckarsulm,1930,Family-owned retail group,,,,,"Retail, production, recycling, digital services",,,,,,,,,,,,2026-03-18,Web search / official website,https://gruppe.schwarz/en/who-we-are,Operates Lidl and Kaufland under Schwarz Group.,
Aldi Süd Family,https://www.aldi-sued.de/unternehmen/ueber-uns,Germany,Mülheim an der Ruhr,1946,Family-owned discount retail group,,,,,Discount grocery retail,,,,,,,,,,,,2026-03-18,Web search / official website,https://www.aldi-sued.de/unternehmen/ueber-uns,ALDI SOUTH Group.,
Aldi Nord Family,https://www.aldi-nord.de/,Germany,Essen,1945,Family-owned discount retail group,,,,,Discount grocery retail,,,,,,,,,,,,2026-03-18,web search / official website,https://www.aldi-nord.de/,Verified from ALDI Nord corporate site.,
Miele Family,https://www.miele.com/,Germany,Gütersloh,1899,Family-owned appliance manufacturer,,,,,Premium domestic appliances,,,,,,,,,,,,2026-03-18,web search / official website,https://www.miele.com/en/com/about-us-2065.htm,Independent family-owned company since 1899.,
Porsche Family,https://www.porsche-se.com/en/,Germany,Stuttgart,2007,Family-controlled holding company,,,,,Automotive and mobility investments,,,,,,,,,,,,2026-03-18,web search / official website,https://www.porsche-se.com/en/company/,Used Porsche SE as the public family-controlled entity.,
BMW Family,https://www.bmwgroup.com/,Germany,Munich,1916,Family-controlled automotive company,,,,,"Automotive, mobility, financial investments",,,,,,,,,,,,2026-03-18,web search / official website,https://www.bmwgroup.com/en/company.html,Quandt/Klatten family-controlled group.,
SAP Founders,,Germany,Walldorf,1972,Founder-led investment group,,,,,"Software, enterprise tech, life sciences, sports",,,,,,,,,,,,2026-03-18,web search / official website,https://www.sap.com/about/company.html,SAP co-founders / founder-related entities.,
Hopp Family Office,,Germany,Walldorf,,Family office / philanthropic investment entity,,,,,"Technology, biotech, sports, real estate",,,,,,,,,,,,2026-03-18,web search / official website,https://en.wikipedia.org/wiki/Dietmar_Hopp,Publicly associated with Dietmar Hopp.,
Plattner Family Office,,Germany,Potsdam,2015,Family office / foundation,,,,,"Science, education, arts, real estate",,,,,,,,,,,,2026-03-18,web search / official website,https://www.hasso-plattner-foundation.com/,Publicly associated with Hasso Plattner Foundation.,
Bechtle Family,https://www.bechtle.com/,Germany,Neckarsulm,1983,Family-owned IT services group,,,,,"IT services, software, hardware",,,,,,,,,,,,2026-03-18,web search / official website,https://www.bechtle.com/de-en/about-bechtle/company,Bechtle started in 1983 in Heilbronn and is headquartered in Neckarsulm.,
Fuchs Family,https://www.fuchs.com/group/,Germany,Mannheim,1931,Family-owned lubricants group,,,,,Lubricants and specialty chemicals,,,,,,,,,,,,2026-03-18,web search / official website,https://www.fuchs.com/group/the-company/company/about-fuchs/,Founded in Mannheim in 1931.,
Körber Family,https://www.koerber.com/en,Germany,Hamburg,1946,Family-owned technology holding,,,,,"Machinery, packaging, pharma, automation",,,,,,,,,,,,2026-03-18,web search / official website,https://koerber.com/en/about-us/our-story,Founded by Kurt A. Körber in Hamburg.,
Tengelmann Family,https://tengelmann21.com/en/company/,Germany,Munich,1867,Family-owned holding company / active family investor,,,,,"Retail, real estate, venture capital",,,,,,,,,,,,2026-03-18,web search / official website,https://tengelmann21.com/en/company/,Munich-based holding of the Tengelmann Group.,
Otto Group Family,https://www.ottogroup.com/en/,Germany,Hamburg,1949,Family-owned retail and e-commerce group,,,,,"Retail, e-commerce, logistics, financing",,,,,,,,,,,,2026-03-18,web search / official website,https://www.ottogroup.com/en/,Founded by Werner Otto in Hamburg.,
Tchibo Family,https://www.tchibo.com/en/company,Germany,Hamburg,1949,Family-owned retail and coffee group,,,,,"Coffee, retail, e-commerce",,,,,,,,,,,,2026-03-18,web search / official website,https://www.tchibo.com/en/company/history,Founded in Hamburg in 1949.,
Glenmede,https://www.glenmede.com/,United States,Philadelphia,1956,Independent wealth management / multi-family office,,,,,"Wealth management, family office services, asset management",,,,,,,,,,,,2026-03-18,web search / official website,https://www.glenmede.com/our-history,"Private, independent wealth manager with family office services.",
Brown Brothers Harriman,https://www.bbh.com/global/en.html,United States,New York City,1818,Private partnership bank / wealth management,,,,,"Private banking, wealth management, asset servicing",,,,,,,,,,,,2026-03-18,web search / official website,https://www.bbh.com/us/en/bbh-who-we-are/our-story.html,BBH traces its roots to 1818.,
Pitcairn,https://www.pitcairn.com/,United States,Conshohocken,1923,Multi-family office,,,,,"Wealth management, family office services",,,,,,,,,,,,2026-03-18,web search / official website,https://www.pitcairn.com/our-history/,Founded as a single family office in 1923.,
Harris myCFO,https://www.harrismycfo.com/,United States,Chicago,2002,Multi-family office / wealth management,,,,,"Investment advisory, family office services",,,,,,,,,,,,2026-03-18,web search / official website,https://en.wikipedia.org/wiki/Harris_myCFO,Wealth management unit serving high-net-worth individuals and families.,
Aspiriant,https://www.aspiriant.com/,United States,Los Angeles,2008,Independent wealth management / multi-family office,,,,,"Investment management, tax, financial planning",,,,,,,,,,,,2026-03-18,web search / official website,https://www.aspiriant.com/our-story/,Employee-owned independent wealth manager.,
Ballentine Partners,https://www.ballentinepartners.com/,United States,"Waltham, MA",1987,Independent multi-family office,,,,,"Wealth management, family office advisory",,,,,,,,,,,,2026-03-18,web search / official website,https://ballentinepartners.com/,"Corporate headquarters in Waltham, Massachusetts.",
Cresset,https://cressetcapital.com/,United States,Chicago,2017,Multi-family office / private wealth management,,,,,"Private wealth management, family office services",,,,,,,,,,,,2026-03-18,web search / official website,https://cressetcapital.com/,Independent multi-family office and private wealth firm.,
Silvercrest,https://www.silvercrestgroup.com/,United States,"New York, NY",2002,Independent registered investment advisor / family office services,,,,,"Individuals, families, institutions, endowments",,,,,,,,,,,,"March 17, 2026.",,https://www.silvercrestgroup.com/contact/,Public website and contact page.,
Veritable,https://veritablewealthadvisory.com/,United States,"Newtown Square, PA",1986,Owner-operated investment advisory firm,,,,,Families of substantial wealth,,,,,,,,,,,,"March 17, 2026.",,https://veritablewealthadvisory.com/about-us,Public site identifies Veritable as a wealth advisory firm.,
Greycourt,https://www.greycourt.com/,United States,"Pittsburgh, PA",1987,Independent investment advisory firm,,,,,Ultra-high-net-worth families and family offices,,,,,,,,,,,,"March 17, 2026.",,https://www.greycourt.com/,Founded out of a family office.,
